"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.564440584,      -9.281546705,      -10.05994918,      -10.00200659,      -3.957274518,      -11.53311539
          0,           0,           1,      -4.962205147,      -4.898977174,      -5.448064411,      -4.611195582,      -4.342668191,      -11.58725629
          0,           0,           2,      -4.993342361,      -4.888299517,      -5.297021794,      -4.968133939,      -4.376893283,      -11.41014632
          0,           0,           3,      -5.094899391,      -4.987001675,      -5.238243502,      -5.044206737,      -4.494801003,      -11.31251391
          0,           0,           4,      -5.108493025,      -5.001857809,      -5.216803563,      -5.030511155,       -4.51822189,      -11.44456735
          0,           0,           5,      -5.120800743,      -5.032735369,       -5.21485157,      -5.050562514,      -4.538289546,      -11.54278618
          0,           0,           6,      -5.135243476,      -5.053216065,      -5.214072927,      -5.077352274,      -4.552898528,      -11.59337195
          0,           0,           7,      -5.153317193,      -5.065846253,      -5.208841898,      -5.096847727,      -4.568178207,      -11.60667603
          0,           0,           8,      -5.170109968,      -5.075796533,      -5.204537147,      -5.115319769,      -4.582942305,      -11.60309748
          0,           0,           9,      -5.182198592,      -5.086381498,      -5.207704252,      -5.134214042,      -4.593277312,      -11.58864223
          0,           0,          10,      -5.191065019,      -5.098077036,      -5.218991586,      -5.151331957,       -4.60033957,      -11.56601119
          0,           0,          11,      -5.199100923,      -5.109878764,      -5.233949387,      -5.167053241,      -4.606739944,      -11.53609841
          0,           0,          12,       -5.20813413,      -5.122219119,      -5.248199761,      -5.184146688,      -4.614397198,      -11.49819822
          0,           0,          13,      -5.219362844,      -5.137208546,      -5.260800348,      -5.205198479,      -4.624624134,      -11.45168018
          0,           0,          14,      -5.232783676,      -5.156043772,      -5.273422065,      -5.230789672,      -4.637366977,      -11.39750919
          0,           0,          15,      -5.247319907,      -5.177769395,      -5.287945954,       -5.25914747,      -4.651147605,      -11.33734269
          0,           0,          16,      -5.261666035,      -5.200333289,      -5.305338101,      -5.287351626,      -4.664296438,      -11.27353458
          0,           0,          17,      -5.275208717,      -5.222610725,      -5.325768833,      -5.313347675,      -4.676335818,      -11.20815605
          0,           0,          18,      -5.288199749,      -5.245089617,       -5.34894531,      -5.337106767,      -4.688059175,      -11.14307571
          0,           0,          19,      -5.301021662,      -5.269074009,      -5.374265337,      -5.360135936,      -4.700295963,      -11.08061063
          0,           0,          20,      -5.314164191,      -5.295461189,      -5.400868694,      -5.384021227,      -4.713571116,      -11.02175861
          0,           0,          21,      -5.327692861,      -5.324186681,      -5.427762246,      -5.409460082,      -4.727619515,      -10.96579716
          0,           0,          22,      -5.341239506,      -5.354635132,      -5.454090705,      -5.436170165,       -4.74166194,       -10.9118505
          0,           0,          23,      -5.355283004,      -5.386290774,      -5.479413098,      -5.463223938,      -4.755926844,      -10.85584381
          0,           0,          24,      -5.370087933,      -5.418631398,      -5.503777902,      -5.489705528,       -4.77062953,      -10.80024905
          0,           0,          25,      -5.385612198,      -5.451444836,      -5.527525098,      -5.515183215,      -4.785827575,      -10.72651213
          0,           0,          26,      -5.402290436,      -5.484336047,      -5.550986766,      -5.539667886,      -4.802127115,      -10.65437945
          0,           0,          27,      -5.420679965,      -5.517363968,      -5.574346122,       -5.56350743,      -4.820223566,      -10.50827194
          0,           0,          28,      -5.440834084,      -5.549526796,      -5.597703744,      -5.587363586,      -4.840225441,      -10.46894319
          0,           0,          29,      -5.462223954,      -5.581257677,      -5.621093277,      -5.611895536,      -4.861616286,      -10.44594285
          0,           0,          30,      -5.485208828,      -5.612014048,      -5.644494339,      -5.637294182,      -4.884762816,      -10.38557459
          0,           0,          31,      -5.509810653,      -5.641596624,      -5.667884941,       -5.66348017,      -4.909651651,      -10.28454326
          0,           0,          32,      -5.535846142,       -5.67026145,       -5.69126775,      -5.690264606,      -4.936025267,      -10.26816033
