"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     
          0,           0,           0,      -3.301254278,      -3.364132341,      -3.879700987
          0,           0,           1,      -3.534236369,      -2.093281345,      -2.031755252
          0,           0,           2,      -3.832935043,      -2.756122069,      -2.788050419
          0,           0,           3,      -4.391680538,      -3.086278904,      -3.183218184
          0,           0,           4,      -4.676134336,      -3.254664811,      -3.376156005
          0,           0,           5,       -4.79939168,      -3.388692391,      -3.556635117
          0,           0,           6,      -4.868641355,      -3.506876615,      -3.706246104
          0,           0,           7,      -4.998350276,      -3.672571322,      -3.928221591
          0,           0,           8,      -5.177831757,      -3.829996505,      -4.124544338
          0,           0,           9,      -5.310232103,      -3.973360601,      -4.316942031
          0,           0,          10,      -5.387128286,       -4.13191406,      -4.530854922
          0,           0,          11,      -5.467459461,       -4.29118224,      -4.739703076
          0,           0,          12,      -5.532645531,      -4.444152731,       -4.93669279
          0,           0,          13,      -5.594065013,      -4.584767116,      -5.124312773
          0,           0,          14,      -5.667878535,      -4.709745192,      -5.292945327
          0,           0,          15,      -5.751446314,       -4.82183306,      -5.433108933
          0,           0,          16,      -5.841146103,      -4.925254061,      -5.540339945
          0,           0,          17,      -5.938607794,      -5.023755469,       -5.62496015
          0,           0,          18,      -6.042772779,      -5.120073144,      -5.701541621
          0,           0,          19,      -6.150045575,      -5.215609523,      -5.777870539
          0,           0,          20,      -6.259273028,      -5.311636241,      -5.856989244
          0,           0,          21,      -6.371397421,      -5.409302906,      -5.940185588
          0,           0,          22,      -6.485151332,      -5.509078039,      -6.027924041
          0,           0,          23,      -6.597821215,      -5.611089347,      -6.119941249
          0,           0,          24,      -6.709198226,      -5.715749697,      -6.215673388
          0,           0,          25,      -6.820602717,      -5.823572303,      -6.314760434
          0,           0,          26,      -6.931703153,      -5.934741873,      -6.417146488
          0,           0,          27,      -7.041603598,       -6.04925814,      -6.522934523
          0,           0,          28,      -7.150901196,      -6.167204725,      -6.632301943
          0,           0,          29,       -7.26020258,      -6.288578853,      -6.745377803
          0,           0,          30,      -7.368821796,      -6.413134111,      -6.862035597
          0,           0,          31,      -7.476432896,      -6.540652447,      -6.981894822
          0,           0,          32,      -7.583790267,      -6.671128103,      -7.104540735
          0,           0,          33,      -7.691119862,      -6.804492044,      -7.229612317
          0,           0,          34,      -7.797776681,      -6.940393663,       -7.35670611
          0,           0,          35,      -7.903619714,      -7.078375871,      -7.485330819
          0,           0,          36,      -8.009165769,      -7.217974979,      -7.614906073
          0,           0,          37,      -8.114614418,      -7.358533212,       -7.74465487
          0,           0,          38,      -8.219920652,      -7.499244742,      -7.873556495
          0,           0,          39,      -8.325400773,      -7.639482804,      -8.000550744
          0,           0,          40,      -8.431426888,      -7.778758023,      -8.124784934
          0,           0,          41,      -8.537986029,      -7.916381744,      -8.245713394
          0,           0,          42,      -8.645023732,      -8.051554411,      -8.363138429
          0,           0,          43,      -8.752764743,      -8.183733992,      -8.477229471
          0,           0,          44,      -8.861403752,      -8.312637059,      -8.588433546
          0,           0,          45,      -8.970872521,      -8.438147594,      -8.697332412
          0,           0,          46,      -9.081080179,      -8.560550581,      -8.804563181
          0,           0,          47,      -9.192056846,      -8.680549495,      -8.910751464
          0,           0,          48,      -9.303784585,      -8.798838517,      -9.016411509
          0,           0,          49,      -9.416157264,      -8.915886425,      -9.121893912
          0,           0,          50,       -9.52916462,      -9.032121872,      -9.227443471
          0,           0,          51,      -9.642870665,      -9.147959722,      -9.333264201
          0,           0,          52,      -9.757189893,      -9.263636519,      -9.439566879
          0,           0,          53,      -9.871967652,      -9.379356221,      -9.546497825
          0,           0,          54,      -9.987135642,      -9.495355057,      -9.654090613
          0,           0,          55,      -10.10266719,       -9.61181169,      -9.762309497
          0,           0,          56,      -10.21851811,      -9.728787266,      -9.871101082
          0,           0,          57,      -10.33466017,      -9.846272893,      -9.980411917
          0,           0,          58,      -10.45109462,       -9.96422475,      -10.09020366
          0,           0,          59,       -10.5678083,      -10.08256989,       -10.2004468
          0,           0,          60,      -10.68476201,      -10.20121648,      -10.31111175
          0,           0,          61,      -10.80195594,      -10.32015053,      -10.42218689
          0,           0,          62,      -10.91941569,      -10.43940699,      -10.53367597
          0,           0,          63,      -11.03713612,      -10.55897043,      -10.64558947
          0,           0,          64,      -11.15509165,      -10.67877299,      -10.75794338
          0,           0,          65,       -11.2732761,      -10.79874983,      -10.87075106
          0,           0,          66,      -11.39169455,      -10.91884007,      -10.98402082
          0,           0,          67,      -11.51034053,      -11.03899798,      -11.09775719
          0,           0,          68,      -11.62922005,      -11.15921809,      -11.21196408
